step,t,learning_rate,epoch,L_task_batch_t,L_reg_batch_t,L_full_batch_t,weights_norm_sq_t,grad_L_task_norm_sq_t,curvature_task_sq_t,lambda_measured_task_t,lambda_rayleigh_task_t,batch_size,L_task_test_t
0,0.0,0.001,0,2.2981154918670654,0.0022967945098876954,2.300412286376953,45.935890197753906,0.2090427726507187,1.2137908077358905,1033.3383873979926,,6000,2.306152099609375
1,0.001,0.001,1,2.2979066371917725,0.002296794128417969,2.3002034313201905,45.935882568359375,0.20893484354019165,1.2137341873062946,1032.8530532894947,,6000,
2,0.002,0.001,2,2.2976977825164795,0.002296794319152832,2.2999945768356325,45.93588638305664,0.20891162753105164,1.2136775563710704,1032.7864749631024,,6000,
3,0.003,0.001,3,2.2974886894226074,0.0022967939376831057,2.2997854833602904,45.93587875366211,0.20879235863685608,1.2136208502633896,1032.2450801246978,,6000,
4,0.004,0.001,4,2.2972798347473145,0.002296794128417969,2.2995766288757324,45.935882568359375,0.20862552523612976,1.213564198299984,1031.4684243077468,,6000,
5,0.005,0.001,5,2.2970712184906006,0.002296794128417969,2.2993680126190186,45.935882568359375,0.20858559012413025,1.213507600515203,1031.3190788532704,,6000,
6,0.006,0.001,6,2.296862840652466,0.002296794128417969,2.299159634780884,45.935882568359375,0.20856547355651855,1.2134510569433665,1031.267667681067,,6000,
7,0.007,0.001,7,2.296654224395752,0.002296794319152832,2.298951018714905,45.93588638305664,0.20852211117744446,1.2133944381925137,1031.101369582976,,6000,
8,0.008,0.001,8,2.296445608139038,0.0022967945098876954,2.2987424026489256,45.935890197753906,0.2085416316986084,1.2133378089501763,1031.2460231287748,,6000,
9,0.009000000000000001,0.001,9,2.2962372303009033,0.0022967947006225587,2.298534025001526,45.93589401245117,0.2084129899740219,1.2132812339518328,1030.6579421583433,,6000,
10,0.010000000000000002,0.001,10,2.2960288524627686,0.002296794891357422,2.298325647354126,45.93589782714844,0.20836497843265533,1.2132246484827056,1030.4685716363051,,6000,
11,0.011000000000000003,0.001,11,2.2958202362060547,0.002296795082092285,2.298117031288147,45.9359016418457,0.2083764225244522,1.213167987780082,1030.5732987848628,,6000,
12,0.012000000000000004,0.001,12,2.295612096786499,0.002296795463562012,2.297908892250061,45.935909271240234,0.20837648212909698,1.2131114461255714,1030.6216273596724,,6000,
13,0.013000000000000005,0.001,13,2.2954037189483643,0.002296795463562012,2.2977005144119262,45.935909271240234,0.20838622748851776,1.2130548292343,1030.7179319506336,,6000,
14,0.014000000000000005,0.001,14,2.2951953411102295,0.0022967958450317385,2.2974921369552614,45.935916900634766,0.20834262669086456,1.212998201865716,1030.5503818739987,,6000,
15,0.015000000000000006,0.001,15,2.2949869632720947,0.002296796417236328,2.297283759689331,45.93592834472656,0.2082848995923996,1.2129415640181866,1030.3129471583181,,6000,
16,0.016000000000000007,0.001,16,2.294778823852539,0.0022967966079711914,2.29707562046051,45.93593215942383,0.2082367092370987,1.2128849805110893,1030.1226212695844,,6000,
17,0.017000000000000008,0.001,17,2.2945706844329834,0.002296797370910645,2.296867481803894,45.93594741821289,0.20815487205982208,1.212828386545756,1029.7658318469894,,6000,
18,0.01800000000000001,0.001,18,2.2943623065948486,0.0022967979431152345,2.296659104537964,45.93595886230469,0.20810098946094513,1.2127717172755863,1029.5473739860818,,6000,
19,0.01900000000000001,0.001,19,2.294154405593872,0.0022967981338500977,2.296451203727722,45.93596267700195,0.20806950330734253,1.2127151672338727,1029.4396026163474,,6000,
