step,t,learning_rate,L_task_variance,sum_squared_task_residual_errors,epoch,L_task_batch_t,L_reg_batch_t,L_full_batch_t,weights_norm_sq_t,grad_L_task_norm_sq_t,q_value_L_task,q_second_derivative_L_task,lambda_measured_task_t,batch_size,L_task_test_t,est_avg_squared_task_residual_error,obs_avg_squared_task_residual_error
0,0.0,0.001,0.005395198240876198,5390.392578125,0,2.2942988872528076,0.0023179641723632812,2.296616851425171,46.359283447265625,0.21482597291469574,1.212754468025242,-0.2414935596711903,1062.833303419622,6000,2.298216796875,1.2121030152110814,0.8983987630208333
1,0.001,0.001,0.005383340176194906,5390.13525390625,1,2.294084072113037,0.0023179649353027346,2.29640203704834,46.35929870605469,0.21477121114730835,1.2126960338360266,-0.24153233320465112,1062.6135741597473,6000,,1.2120459084794313,0.8983558756510417
2,0.002,0.001,0.005371573381125927,5389.8779296875,2,2.2938694953918457,0.0023179655075073243,2.296187460899353,46.359310150146484,0.2148222178220749,1.212637653374536,-0.24157106639674908,1062.9171074686633,6000,,1.2119888450195826,0.89831298828125
3,0.003,0.001,0.0053598894737660885,5389.6201171875,3,2.293654441833496,0.0023179662704467772,2.295972408103943,46.35932540893555,0.21478930115699768,1.2125791320188837,-0.24160988836077124,1062.8055298925567,6000,,1.2119316308701924,0.89827001953125
4,0.004,0.001,0.00534830940887332,5389.3623046875,4,2.2934398651123047,0.0023179668426513674,2.295757831954956,46.359336853027344,0.214675173163414,1.2125207292854914,-0.2416486269353919,1062.291973960314,6000,,1.2118745234729513,0.89822705078125
5,0.005,0.001,0.005336819216609001,5389.10498046875,5,2.293224811553955,0.002317967987060547,2.2955427795410155,46.35935974121094,0.21466276049613953,1.2124621856048616,-0.2416874542902072,1062.2818412553656,6000,,1.211817264479627,0.8981841634114583
6,0.006,0.001,0.0053254179656505585,5388.84716796875,6,2.2930104732513428,0.00231796875,2.2953284420013427,46.359375,0.21462588012218475,1.2124038255152734,-0.24172615518966084,1062.1504597989954,6000,,1.211760179110466,0.8981411946614584
7,0.007,0.001,0.00531410938128829,5388.58984375,7,2.2927958965301514,0.002317969512939453,2.2951138660430908,46.35939025878906,0.21454627811908722,1.212345389385356,-0.24176490181828927,1061.8076993447858,6000,,1.2117030068189465,0.8980983072916666
8,0.008,0.001,0.005302894860506058,5388.33203125,8,2.29258131980896,0.0023179704666137697,2.294899290275574,46.35940933227539,0.21457402408123016,1.212286942123816,-0.24180365112690935,1061.996215377769,6000,,1.2116458124544098,0.8980553385416666
9,0.009000000000000001,0.001,0.005291758570820093,5388.07421875,9,2.2923667430877686,0.002317971420288086,2.2946847145080564,46.35942840576172,0.21440471708774567,1.21222848372887,-0.24184240311367736,1061.209433529694,6000,,1.2115885979241376,0.8980123697916667
10,0.010000000000000002,0.001,0.005280721001327038,5387.81640625,10,2.2921524047851562,0.002317972755432129,2.2944703775405886,46.35945510864258,0.2144155204296112,1.2121700791710575,-0.24188111471452703,1061.3140389155915,6000,,1.2115314258299088,0.8979694010416667
11,0.011000000000000003,0.001,0.005269770510494709,5387.55859375,11,2.291937828063965,0.0023179738998413088,2.294255801963806,46.35947799682617,0.21430012583732605,1.2121115985163209,-0.24191987204908366,1060.794036289921,6000,,1.2114741674125074,0.8979264322916667
